review_id,date,score,lessor,agency_name,property_type,weekly_price,n_bedrooms,suburb,review_text
1,2023-11-24 04:08:00,5,Agency,McGrath Estate Agents,Flat/Unit,400,2,Redfern,"Living in this apartment was quite the ordeal. Maintenance issues seemed never-ending, from plumbing problems to heating failures. Pest control was practically nonexistent, and I felt like I was sharing the space with unwanted guests. To top it off, there were lease violations left and right, making it hard to feel secure in my own home."
2,2023-08-02 13:33:00,4,Agency,Ray White Group,Flat/Unit,300,2,Camperdown,"Lease violations were a significant issue in this apartment. It felt like the landlord was constantly breaking the terms we agreed upon, which made me question their reliability and trustworthiness."
3,2023-08-03 02:08:00,3,Agency,Harcourts,Flat/Unit,290,2,Camperdown,"Communication with the landlord was a nightmare, and the pest problems only added to the stress. It felt like every attempt to reach out was met with silence or excuses. Dealing with both pests and unresponsive communication made my stay here less than pleasant."
4,2023-01-13 11:21:00,5,Agency,Harcourts,Flat/Unit,395,2,Redfern,"The property condition was disappointing, to say the least. From moldy walls to structural defects, it felt like this apartment was far from meeting basic standards of habitability. Living here felt like a constant battle against the environment."
5,2023-12-30 11:07:00,5,Agency,Century 21 Australia,Flat/Unit,395,2,Redfern,"Pest problems and lease violations plagued my experience in this apartment. It was frustrating to deal with both issues simultaneously, and it made me question the landlord's commitment to providing a comfortable living environment."
6,2023-02-17 21:26:00,1,Agency,Belle Property,Flat/Unit,155,1,Newtown,"The poor property condition of this apartment was undeniable. From the moment I moved in, it was clear that cleanliness and upkeep were not a priority. It's disheartening when the place you call home falls short of even the most basic standards."
7,2023-09-27 11:40:00,4,Agency,Harcourts,Flat/Unit,300,2,Camperdown,"Pest problems were a constant source of frustration in this apartment. No matter what measures I took, it felt like I couldn't escape the presence of unwanted critters. Living here felt like sharing space with unwelcome roommates."
8,2023-10-26 20:23:00,1,Private,,Flat/Unit,150,1,Newtown,"Pest problems seemed to be an ongoing issue in this apartment. Despite repeated attempts to address the problem, it felt like the infestation was never fully resolved. It made for a rather uncomfortable living situation."
9,2023-05-16 19:00:00,3,Private,,Flat/Unit,290,1,Redfern,"From delayed maintenance responses to pest infestations, this apartment had it all. It was disheartening to see such neglect from the landlord when it came to addressing these issues. Living here felt like a constant battle against the elements."
10,2023-03-13 15:41:00,1,Agency,Raine & Horne,Flat/Unit,155,1,Newtown,"Pest problems, poor property condition, and lease violations made living in this apartment a nightmare. It felt like every aspect of my living situation was fraught with issues, and it left me feeling stressed and unsettled."
